,Date,Year,Month,Place,Area,Location,Activity,Sex,Fatal
556,2012.06.18,2012,06,USA,North Carolina,"Ocean Isle, Brunswick County",Others,F,0
557,2012.06.15,2012,06,USA,Florida,"Summerland Key, Monroe County",Fishing,M,0
558,2012.06.14,2012,06,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,F,0
559,2012.06.14,2012,06,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,M,0
560,2012.06.14,2012,06,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,M,0
561,2012.06.14,2012,06,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,M,0
562,2012.06.12,2012,06,AUSTRALIA,Victoria,Port Campbell,Surfing,M,0
563,2012.06.10,2012,06,ITALY,Sardinia,Muravera,Others,M,0
564,2012.06.03,2012,06,AUSTRALIA,New South Wales,"Redhead Beach, Newcastle",Surfing,M,0
565,2012.06.02,2012,06,USA,Florida,"Bethune Beach, Volusia County",Surfing,F,0
566,2012.06.02,2012,06,USA,South Carolina,"Myrtle Beach, Horry County",Others,M,0
567,2012.05.31,2012,05,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Others,F,0
568,2012.05.29,2012,05,MEXICO,Guerrero,"Boca de la Leña, La Unión",Fishing,M,0
569,2012.05.23,2012,05,USA,Florida,"Jacksonville, Duval County",Surfing,M,0
570,2012.05.20,2012,05,USA,Hawaii,"Iroquiois Point, Oahu",Fishing,M,0
571,2012.05.16,2012,05,FIJI,,Matacucu Reef,Fishing,M,0
572,2012.05.12,2012,05,USA,California,"Leffingwell Landing, Cambria,  San Luis Obispo County",Others,M,0
573,2012.05.09,2012,05,USA,Florida,"Vero Beach, Indian River County",Swimming,F,0
574,2012.05.06,2012,05,USA,California,Off Catalina Island,Others,F,0
575,2012.04.19,2012,04,USA,Florida,"Indialantic, Brevard County",Surfing,M,0
576,2012.04.19,2012,04,SOUTH AFRICA,Western Cape Province,Caves near Kogel Bay,Others,M,1
577,2012.04.11,2012,04,AUSTRALIA,South Australia,"Dolphin Bay, Innes National Park",Others,M,0
578,2012.04.03,2012,04,USA,Hawaii,"Leftovers near Chun's Reef, Oahu",Surfing,M,0
579,2012.04.00,2012,04,USA,Florida,"Sanibel Island, Lee County",Others,M,0
580,2012.03.31,2012,03,AUSTRALIA,Western Australia,Stratham Beach,Diving,M,1
581,2012.03.24,2012,03,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0
582,2012.03.22,2012,03,AUSTRALIA,Western Australia,Kalbarri,Fishing,,0
583,2012.03.20,2012,03,AUSTRALIA,Queensland,Nobby's Beach,Surfing,M,0
584,2012.03.15,2012,03,USA,Florida,"Jensen Beach, Martin County",Surfing,M,0
585,2012.03.14,2012,03,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,0
586,2012.03.14,2012,03,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0
