,Case Number,Date,Year,Month,Hour,Place,Area,Location,Activity,Sex,Fatal
2568,1986.12.31,1986.12.31,1986,12,14:00,SOUTH AFRICA,Western Cape Province,Agulhas Banks,Fishing,M,0
2569,1986.12.22,1986.12.22,1986,12,17:00,SOUTH AFRICA,Western Cape Province,SAOU Strand,Others,M,1
2570,1986.12.11,1986.12.11,1986,12,14:00,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,0
2571,1986.12.06.b,1986.12.06,1986,12,Unknown,BAHAMAS,Florida Straits,Off Cay Sal  Banks,Others,M,0
2572,1986.12.06.a,1986.12.06,1986,12,10:00,USA,California,"Monastery Beach, Carmel River State Park, Monterey Peninsula, Monterey California",Fishing,M,0
2573,1986.12.04,1986.12.04,1986,12,Unknown,SOUTH AFRICA,Western Cape Province,Platbank,Fishing,M,0
2574,1986.12.00,1986.12.00,1986,12,Unknown,NEW CALEDONIA,,I'le Ouen,Fishing,,0
2575,1986.11.30,1986.11.30,1986,11,10:30,USA,Florida,"Daytona Beach, Volusia County",Surfing,M,0
2576,1986.11.19,1986.11.19,1986,11,10:40,USA,Florida,"Indiatlantic, Brevard County",Surfing,M,0
2577,1986.11.04,1986.11.04,1986,11,Unknown,USA,Florida,"Tiger Shores Beach, Martin County",Surfing,M,0
2578,1986.10.17,1986.10.17,1986,10,Unknown,SOUTH AFRICA,KwaZulu-Natal,Umhlanga,Others,M,0
2579,1986.10.03,1986.10.03,1986,10,18:00,USA,Florida,"Sanibel Island, Lee County",Swimming,F,0
2580,1986.10.05,1986.10.05,1986,10,11:00,SOUTH AFRICA,KwaZulu-Natal,St. Michaels,Others,M,0
2581,1986.10.01,1986.10.01,1986,10,Unknown,AUSTRALIA,Western Australia,"Direction Island, Cocos Islands",Others,,0
2582,1986.10.00,1986.10.00,1986,10,Unknown,USA,Florida,"Floridana Beach, Brevard County",Surfing,M,0
2583,1986.09.22.R,1986.09.22,1986,09,Unknown,USA,Florida,"Pinellas Point, Tampa Bay",Others,,0
