,Case Number,Date,Year,Month,Hour,Place,Area,Location,Activity,Sex,Fatal
0,2016.09.18.c,2016.09.18,2016,09,13:00,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0
1,2016.09.18.b,2016.09.18,2016,09,11:00,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0
2,2016.09.18.a,2016.09.18,2016,09,10:43,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0
3,2016.09.17,2016.09.17,2016,09,Unknown,AUSTRALIA,Victoria,Thirteenth Beach,Surfing,M,0
4,2016.09.15,2016.09.15,2016,09,Unknown,AUSTRALIA,Victoria,Bells Beach,Surfing,M,0
5,2016.09.15.R,2016.09.15,2016,09,Unknown,AUSTRALIA,Western Australia,Bunbury,Fishing,,0
6,2016.09.11,2016.09.11,2016,09,15:15,USA,Florida,"Ponte Vedra, St. Johns County",Others,M,0
7,2016.09.07,2016.09.07,2016,09,14:30,USA,Hawaii,"Makaha, Oahu",Swimming,F,0
8,2016.09.06,2016.09.06,2016,09,15:40,NEW CALEDONIA,North Province,Koumac,Surfing,M,1
9,2016.09.05.b,2016.09.05,2016,09,Unknown,USA,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",Others,F,0
10,2016.09.05.a,2016.09.05,2016,09,Unknown,AUSTRALIA,Western Australia,Injidup,Surfing,M,0
11,2016.09.04,2016.09.04,2016,09,Unknown,USA,Florida,"New Smyrna Beach, Volusia County",Others,M,0
12,2016.09.01,2016.09.01,2016,09,Unknown,USA,California,"Refugio State Beach, Santa Barbara County",Fishing,M,0
13,2016.08.29.b,2016.08.29,2016,08,15:00,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0
14,2016.08.29.a,2016.08.29,2016,08,14:00,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0
15,2016.08.27,2016.08.27,2016,08,17:00,REUNION,,Boucan Canot,Surfing,M,0
16,2016.08.25,2016.08.25,2016,08,16:00,USA,Florida,"Ponte Vedra, St. Johns County",Others,M,0
17,2016.08.07,2016.08.07,2016,08,Unknown,BAHAMAS,New Providence Island,Nassau,Others,M,0
18,2016.08.06,2016.08.06,2016,08,Unknown,USA,Hawaii,Maui,Others,M,0
19,2016.08.04,2016.08.04,2016,08,Unknown,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0
20,2016.07.29,2016.07.29,2016,07,11:30,SPAIN,Alicante Province,Arenales del Sol,Swimming,M,0
21,2016.07.28.R,2016.07.28,2016,07,Unknown,CHINA,Hong Kong,,Swimming,M,0
22,2016.07.28,2016.07.28,2016,07,Unknown,AUSTRALIA,Western Australia,Near Albany,Others,M,0
23,2016.07.27,2016.07.27,2016,07,Unknown,USA,Florida,"Florida Keys, Monroe County",Others,M,0
24,2016.07.26,2016.07.26,2016,07,12:00,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,M,0
25,2016.07.24,2016.07.24,2016,07,19:05,JAPAN,Kochi Prefecture,Irino Beach,Surfing,M,0
26,2016.07.23.b,2016.07.23,2016,07,Unknown,AUSTRALIA,Tasmania,Clifton Beach,Surfing,M,0
27,2016.07.23.a,2016.07.23,2016,07,Unknown,BAHAMAS,Abaco Islands,Green Turtle Cay,Fishing,M,0
28,2016.07.20,2016.07.20,2016,07,Unknown,AUSTRALIA,Queensland,"20 k off The Spit, off the Gold Coast",Fishing,M,0
29,2016.07.17,2016.07.17,2016,07,Unknown,USA,Alabama,8 miles off Mobile,Fishing,,0
30,2016.07.16.b,2016.07.16,2016,07,Unknown,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,0
31,2016.07.16.a,2016.07.16,2016,07,11:00,USA,Florida,"New Smyrna Beach, Volusia County",Others,F,0
32,2016.07.15,2016.07.15,2016,07,Unknown,USA,South Carolina,"North Myrtle Beach, Horry County",Swimming,M,0
33,2016.07.14.4,2016.07.14.4,2016,07,Unknown,BAHAMAS,,Tiger Beach,Diving,M,0
34,2016.07.08.R,2016.07.08,2016,07,Unknown,SPAIN,Canary Islands,"Las Teresitas, Tenerife",Others,F,0
35,2016.07.08,2016.07.08,2016,07,Unknown,USA,California,"Capitola, Santa Cruz County",Fishing,M,0
36,2016.07.07.b,2016.07.07,2016,07,10:00,USA,Massachusetts,"Off Gloucester, Essec County",Fishing,M,0
37,2016.07.07.a,2016.07.07,2016,07,Unknown,USA,California,"Off Palos Verdes peninsula, Los Angeles County",Fishing,M,0
38,2016.07.06,2016.07.06,2016,07,14:30,USA,Florida,"Melbourne Beach, Brevard County",Swimming,F,0
39,2016.07.04,2016.07.04,2016,07,22:00,AUSTRALIA,Queensland,Palm Cove,Fishing,M,0
40,2016.06.27,2016.06.27,2016,06,16:20,USA,South Carolina,Sullivan's Island,Others,M,0
41,2016.06.25,2016.06.25,2016,06,14:34,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Surfing,M,0
42,2016.06.24,2016.06.24,2016,06,11:00,COLUMBIA,Isla Provedencia,,Diving,M,0
43,2016.06.23,2016.06.23,2016,06,Unknown,SOUTH AFRICA,Western Cape Province,Ryspunt,Fishing,M,0
44,2016.06.21.b,2016.06.21,2016,06,15:25,USA,South Carolina,"North Myrtle Beach, Horry County",Others,M,0
45,2016.06.21.a,2016.06.21,2016,06,14:55,USA,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",Others,M,0
46,2016.06.15.b,2016.06.15,2016,06,06:00,USA,Hawaii,"Kalapaki Beach, Kauai",Surfing,M,0
47,2016.06.15.a,2016.06.15,2016,06,Unknown,AUSTRALIA,Western Australia,Coral Bay,Fishing,M,0
48,2016.06.14,2016.06.14,2016,06,17:30,USA,Texas,"Pirates Beach, Galveston",Others,F,0
49,2016.06.11,2016.06.11,2016,06,15:00,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Others,M,0
50,2016.06.07,2016.06.07,2016,06,11:30,USA,South Carolina,"Folly Beach, Charleston County",Surfing,M,0
51,2016.06.05.b,2016.06.05,2016,06,08:30,USA,Florida,"Flagler Beach, Flagler County",Swimming,M,0
52,2016.06.05.a,2016.06.05,2016,06,11:30,AUSTRALIA,Western Australia,Mindarie,Diving,F,1
53,2016.06.04,2016.06.04,2016,06,Unknown,EGYPT,Suez,Ain Sokhna,Swimming,M,0
54,2016.06.02.b,2016.06.02,2016,06,Unknown,AUSTRALIA,New South Wales,Kingscliff,Fishing,M,
55,2016.06.02.a,2016.06.02,2016,06,Unknown,NEW CALEDONIA,,"Côte-Blanche, Nouméa",Surfing,M,0
56,2016.05.31,2016.05.31,2016,05,16:00,AUSTRALIA,Western Australia,"Falcon Beach, Mandurah",Surfing,M,1
57,2016.05.29.b,2016.05.29,2016,05,16:00,USA,California,"Corona Del Mar, Newport, Orange County",Swimming,F,0
58,2016.05.29.a,2016.05.29,2016,05,15:45,USA,Florida,"Neptune, Duval County",Swimming,M,0
59,2016.05.22,2016.05.22,2016,05,12:00,USA,Florida,"Vero Beach, Indian River County",Swimming,F,0
60,2016.05.21.b,2016.05.21,2016,05,18:00,USA,Florida,"St. Petersburg, Pinellas County",Swimming,F,0
61,2016.05.21.a,2016.05.21,2016,05,17:46,USA,Florida,"Hugenot Beach , Jacksonville, Duval County",Swimming,F,0
62,2016.05.18,2016.05.18,2016,05,Unknown,USA,Florida,"Ponte Vedra, St. Johns County",Swimming,M,0
63,2016.05.15,2016.05.15,2016,05,13:20,USA,Florida,"Boca Raton, Palm Beach County",Others,F,0
64,2016.05.03,2016.05.03,2016,05,15:49,USA,Hawaii,"Wailea Beach, Maui",Others,M,0
65,2016.05.02,2016.05.02,2016,05,Unknown,NEW ZEALAND,North Island,Cormandel,Fishing,M,0
66,2016.04.25,2016.04.25,2016,04,07:00,INDONESIA,Bali,Balian,Surfing,M,0
67,2016.04.23,2016.04.23,2016,04,17:30,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0
68,2016.04.22,2016.04.22,2016,04,08:00,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",Others,M,0
69,2016.04.19,2016.04.19,2016,04,12:00,AUSTRALIA,New South Wales,"First Sun Beach, Byron Bay",Swimming,M,0
70,2016.04.18,2016.04.18,2016,04,Unknown,FRENCH POLYNESIA,Tuamotos,Makemo Atoll,Fishing,M,0
71,2016.04.13,2016.04.13,2016,04,Unknown,USA,Florida,"Off Singer Island, Palm Beach County",Fishing,M,0
72,2016.04.09,2016.04.09,2016,04,10:45,NEW CALEDONIA,Grand Terre,Poe Beach,Others,F,1
73,2016.04.08,2016.04.08,2016,04,Unknown,CAPE VERDE,Boa Vista Island,,Others,M,0
74,2016.04.07.b,2016.04.07,2016,04,Unknown,USA,Florida,"Florida Keys, Monroe County",Fishing,M,0
75,2016.04.07.a,2016.04.07,2016,04,Unknown,USA,Florida,"Corners Beach, Jupiter, Palm Beach County",Others,M,0
76,2016.03.31,2016.03.31,2016,03,11:00,USA,Hawaii,"Olowalu, Maui",Others,F,0
77,2016.03.30,2016.03.30,2016,03,19:00,AUSTRALIA,New South Wales,Bombo Beach,Surfing,M,0
78,2016.03.28.b,2016.03.28,2016,03,Unknown,USA,Florida,"Fort Myers Beach, Lee County",Others,M,0
79,2016.03.28.a,2016.03.28,2016,03,11:00,AUSTRALIA,New South Wales,North Cronulla Beach,Surfing,M,0
80,2016.03.26,2016.03.26,2016,03,Unknown,BAHAMAS,,,Others,M,0
81,2016.03.13,2016.03.13,2016,03,Unknown,USA,California,"Bolsa Chica State Park, Orange County",Surfing,,0
82,2016.03.11,2016.03.11,2016,03,13:30,USA,Florida,"Vero Beach, St. Lucie County",Surfing,M,0
83,2016.03.10,2016.03.10,2016,03,Unknown,FIJI,Vanua Levu,,Diving,M,1
84,2016.03.04,2016.03.04,2016,03,Unknown,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Others,M,0
85,2016.03.03.R,2016.03.03,2016,03,Unknown,AUSTRALIA,South Australia,Wrights Bay,Fishing,M,0
86,2016.03.02,2016.03.02,2016,03,Unknown,BRAZIL,Santa Catarina State,Escalerio Beach Balneário Camboriú,Swimming,M,0
87,2016.02.22,2016.02.22,2016,02,19:00,NEW CALEDONIA,South Province,"Ricaudy Reef, Noumea",Surfing,M,0
88,2016.02.19,2016.02.19,2016,02,16:00,NEW CALEDONIA,South Province,Yate,Fishing,M,0
89,2016.02.12,2016.02.12,2016,02,15:00,DOMINICAN REPUBLIC,Altagracia Province,"Bavaro Beach, Punta Cana",Others,F,0
90,2016.02.10.R,2016.02.10,2016,02,Unknown,CAYMAN ISLANDS,Grand Cayman,Stingray City Bar,Others,M,0
91,2016.02.10,2016.02.10,2016,02,12:30,AUSTRALIA,Tasmania,Nettley Bay,Surfing,M,0
92,2016.02.05,2016.02.05,2016,02,13:20,AUSTRALIA,Queensland,Stradbroke Island,Others,F,0
93,2016.02.04,2016.02.04,2016,02,Unknown,AUSTRALIA,New South Wales,Hams Beach,Surfing,M,0
94,2016.01.29,2016.01.29,2016,01,Unknown,SOUTH AFRICA,KwaZulu-Natal,,Fishing,M,0
95,2016.01.28,2016.01.28,2016,01,14:00,USA,Hawaii,"Hanalei Bay, Kauai",Surfing,M,0
96,2016.01.25,2016.01.25,2016,01,11:30,USA,Hawaii,"Hanalei Bay, Kauai,",Surfing,F,0
97,2016.01.24.b,2016.01.24,2016,01,09:30,USA,Texas,Off Surfside,Fishing,M,0
98,2016.01.24.a,2016.01.24,2016,01,Unknown,UNITED ARAB EMIRATES,Fujairah Emirate,35 miles off Fujairah,Fishing,M,0
99,2016.01.23,2016.01.23,2016,01,Unknown,USA,Hawaii,"Wailea Beach, Maui",Others,M,0
100,2016.01.11.R,2016.01.11,2016,01,Unknown,AUSTRALIA,Queensland,"Happy Valley Beach, Caloundra",Surfing,M,0
101,2016.01.05,2016.01.05,2016,01,Unknown,AUSTRALIA,Queensland,Heron Island,Others,M,0
102,2016.01.02,2016.01.02,2016,01,11:30,AUSTRALIA,Queensland,Miall Island,Fishing,M,0
103,2015.12.26,2015.12.26,2015,12,Unknown,SOUTH AFRICA,KwaZulu-Natal,Westbrook Beach,Fishing,M,0
104,2015.12.25,2015.12.25,2015,12,Unknown,SPAIN,Grand Canary Island,"Arinaga Beach, Aguimes, Gran Canaria",Swimming,F,0
105,2015.12.22,2015.12.22,2015,12,Unknown,USA,Hawaii,La'aloa Beach Park,Others,M,0
106,2015.12.21.b,2015.12.21,2015,12,07:00,AUSTRALIA,New South Wales,Bondi Beach,Surfing,M,0
107,2015.12.21.a,2015.12.21,2015,12,Unknown,BRAZIL,Pernambuco,Fernano de Noronha,Diving,M,0
108,2015.12.19,2015.12.19,2015,12,Unknown,ARUBA,,Boat capsized,Others,M,1
109,2015.12.13,2015.12.13,2015,12,10:30,AUSTRALIA,New South Wales,Lake Macquarie,Fishing,,0
110,2015.12.11,2015.12.11,2015,12,Unknown,BAHAMAS,,Off Andros Island,Fishing,M,0
111,2015.12.08,2015.12.08,2015,12,Unknown,SOUTH AFRICA,Eastern Cape Province,Mpande,Swimming,F,0
112,2015.11.16,2015.11.16,2015,11,Unknown,USA,Florida,"Playalinda Beach, Brevard County",Surfing,M,0
113,2015.11.15.b,2015.11.15,2015,11,Unknown,USA,Florida,"Palm Beach, Palm Beach County",Swimming,F,0
114,2015.11.15.a,2015.11.15,2015,11,Unknown,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Surfing,M,0
115,2015.11.10,2015.11.10,2015,11,18:15,AUSTRALIA,New South Wales,East Ballina,Surfing,M,0
116,2015.12.23,2015.12.23,2015,12,11:00,USA,Florida,"Paradise Beach, Melbourne, Brevard County",Surfing,F,0
117,2015.11.03,2015.11.03,2015,11,11:00,USA,Hawaii,"Kehena Beach, Hawaii",Swimming,M,0
118,2015.11.01.b,2015.11.01,2015,11,14:00,USA,Florida,"Cocoa Beach, Brevard  County",Others,F,0
119,2015.11.01.a,2015.11.01,2015,11,04:00,MOZAMBIQUE,Inhambane Province,Maxixe,Fishing,M,0
120,2015.10.30,2015.10.30,2015,10,Unknown,AUSTRALIA,Western Australia,Bald Island,Fishing,M,0
121,2015.10.28.a,2015.10.28,2015,10,14:50,USA,Hawaii,"Malaka, Oahu",Others,M,0
122,2015.10.25,2015.10.25,2015,10,15:00,SOUTH AFRICA,Western Cape Province,Stil Bay,Surfing,M,0
123,2015.10.21,2015.10.21,2015,10,14:30,USA,Florida,"Playalinda Beach, Brevard County",Surfing,M,0
124,2015.10.19,2015.10.19,2015,10,13:50,USA,Florida,"Deerfield Beach, Broward County",Surfing,M,0
125,2015.10.17.c,2015.10.17,2015,10,Unknown,MOZAMBIQUE,Inhambane Province,"Nahaduga, Inhambane Bay",Fishing,F,1
126,2015.10.17.b,2015.10.17,2015,10,19:20,USA,Hawaii,"Waikiki,",Surfing,M,0
127,2015.10.17.a,2015.10.17,2015,10,11:30,USA,Hawaii,"Lanikai Beach, Kailua, Oahu",Swimming,M,0
128,2015.10.13,2015.10.13,2015,10,11:00,USA,California,"Off Leffingwell Landing, San Luis Obispo County",Fishing,M,0
129,2015.10.09.b,2015.10.09,2015,10,16:20,USA,South Carolina,"Shipyard Beach Club, Hilton Head Island, Beaufort County",Others,F,0
130,2015.10.09.a,2015.10.09,2015,10,10:25,USA,Hawaii,"Leftovers, Oahu",Surfing,M,0
131,2015.10.08,2015.10.08,2015,10,Unknown,MOZAMBIQUE,Inhambane Province,"Maxixe, Inhambane Bay",Fishing,M,0
132,2015.10.07,2015.10.07,2015,10,16:50,AUSTRALIA,Western Australia,Pyramids Beach,Surfing,M,0
133,2015.10.05.b,2015.10.05,2015,10,13:00,USA,Florida,"Pepper Park Beach, St. Lucie County",Others,M,0
134,2015.10.05.a,2015.10.05,2015,10,10:00,USA,Texas,Galveston,Others,M,0
135,2015.10.04,2015.10.04,2015,10,08:30,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0
136,2015.09.29,2015.09.29,2015,09,16:20,USA,Florida,"Vilano Beach, St.  Johns County",Surfing,M,0
137,2015.09.26,2015.09.26,2015,09,Unknown,AUSTRALIA,Queensland,"Russel Island, Frankland Group",Others,F,0
138,2015.09.24,2015.09.24,2015,09,10:45,USA,California,"Horseshoe Rock, Santa Barbara County",Fishing,M,0
139,2015.09.20.d,2015.09.20,2015,09,16:45,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0
140,2015.09.20.c,2015.09.20,2015,09,15:52,USA,Hawaii,"Upolu Point, North Kohala, Big Island",Fishing,M,0
141,2015.09.20.b,2015.09.20,2015,09,12:30,USA,Florida,"Fernandina Beach, Amelia Island, Nassau County",Others,M,0
142,2015.09.20.a,2015.09.20,2015,09,07:30,USA,Florida,"Vilano Beach, St.  Johns County",Others,M,0
143,2015.09.18,2015.09.18,2015,09,19:00,USA,Florida,"Big Talbot Island, Duval County",Swimming,M,0
144,2015.09.17,2015.09.17,2015,09,15:00,USA,Florida,"Jacksonville Beach, Duval County",Surfing,M,0
145,2015.09.08,2015.09.08,2015,09,06:15,AUSTRALIA,New South Wales,North Shelly Beach,Surfing,M,0
146,2015.09.06,2015.09.06,2015,09,17:30,USA,California,"El Pescador Beach, Los Angeles County",Others,F,0
147,2015.09.05,2015.09.05,2015,09,14:40,USA,California,"Deer Creek Beach, Ventura County",Fishing,M,0
148,2015.09.04,2015.09.04,2015,09,11:30,AUSTRALIA,New South Wales,Hallidays Point,Others,M,0
149,2015.09.03,2015.09.03,2015,09,16:00,USA,South Carolina,"Myrtle Beach, Horry County",Others,M,0
150,2015.09.01,2015.09.01,2015,09,08:30,THAILAND,Phuket,Karon Beach,Others,F,0
151,2015.09.00,2015.09.00,2015,09,Unknown,FIJI,,,Fishing,M,0
152,2015.08.29.b,2015.08.29,2015,08,10:25,USA,California,"Morro Strand State Beach, San Luis Obispo County",Surfing,F,0
153,2015.08.29.a,2015.08.29,2015,08,10:00,USA,California,"Morro Bay, San Luis Obispo County",Surfing,M,0
154,2015.08.22.b,2015.08.22,2015,08,19:45,USA,Florida,"Cocoa Beach, Brevard  County",Others,M,0
155,2015.08.22.a,2015.08.22,2015,08,17:10,AUSTRALIA,New South Wales,Lighthouse Beach,Surfing,M,0
156,2015.08.20,2015.08.20,2015,08,12:30,USA,South Carolina,"Murrells Inlet, Georgetown County",Surfing,M,0
157,2015.08.19,2015.08.19,2015,08,15:30,USA,Florida,"Jacksonville Beach, Duval County",Others,F,0
158,2015.08.18.b,2015.08.18,2015,08,07:30,USA,California,Santa Barbara County,Fishing,M,0
159,2015.08.18.a,2015.08.18,2015,08,11:00,SPAIN,Alicante,"Poniente Beach, Benidorm",Swimming,M,0
160,2015.08.10,2015.08.10,2015,08,08:00,USA,California,Cortes Bank,Fishing,M,0
161,2015.07.31,2015.07.31,2015,07,06:00,AUSTRALIA,New South Wales,Evans Head,Surfing,M,0
162,2015.07.26.b,2015.07.26,2015,07,19:00,USA,Florida,"Daytona Beach, Volusia County",Surfing,M,0
163,2015.07.26.a,2015.07.26,2015,07,10:10,USA,South Carolina,"Edisto Beach, Colleton County",Others,F,0
164,2015.07.25,2015.07.25,2015,07,10:00,AUSTRALIA,Tasmania,"Lachan Island, Mercury Passage",Diving,M,1
165,2015.07.23.b,2015.07.23,2015,07,Unknown,USA,California,"La Jolla, San Diego County",Fishing,M,0
166,2015.07.23.a,2015.07.23,2015,07,Unknown,AUSTRALIA,Victoria,Tyrendarra Beach near Portland,Surfing,M,0
167,2015.07.22,2015.07.22,2015,07,Unknown,REUNION,,St. Leu,Surfing,M,0
168,2015.07.19,2015.07.19,2015,07,Unknown,SOUTH AFRICA,Eastern Cape Province,Jeffrey's Bay,Surfing,M,0
169,2015.07-10,2015.07-10,2015,07,08:45,USA,California,"Huntington Beach, Orange County",Surfing,M,0
170,2015.07.08,2015.07.08,2015,07,Unknown,USA,California,"Huntington Beach, Orange County",Others,M,0
171,2015.07.06,2015.07.06,2015,07,Unknown,FRENCH POLYNESIA,Bora Bora,,Swimming,M,0
172,2015.07.04.b,2015.07.04,2015,07,Unknown,BAHAMAS,Grand Bahama Island,"Port Lucaya, Freeport",Fishing,F,0
173,2015.07.04.a,2015.07.04,2015,07,Unknown,USA,North Carolina,"Off Surf City, Pender County",Others,M,0
174,2015.07.03,2015.07.03,2015,07,09:00,AUSTRALIA,New South Wales,Lennox Head,Surfing,M,0
175,2015.07.02,2015.07.02,2015,07,09:00,AUSTRALIA,New South Wales,East Ballina,Others,M,0
176,2015.07.01,2015.07.01,2015,07,12:10,USA,North Carolina,"Ocracoke, Lifeguard Beach, National Park Service, Hyde County",Swimming,M,0
177,2015.06.30.b,2015.06.30,2015,06,Unknown,AUSTRALIA,New South Wales,"Flat Rock, Yamba",Surfing,M,0
178,2015.06.30.a,2015.06.30,2015,06,18:05,USA,South Carolina,"Isle of Palms County Park, Isle of Palms, Charleston County",Others,M,0
179,2015.06.27.b,2015.06.27,2015,06,16:00,USA,North Carolina,"Rodanthe, Dare County",Swimming,M,0
180,2015.06.27.a,2015.06.27,2015,06,14:40,SOUTH AFRICA,Western Cape Province,Buffels Bay near Knysna,Others,M,0
181,2015.06.26.c,2015.06.26,2015,06,19:30,USA,Florida,"Jacksonville Beach, Duval County",Swimming,F,0
182,2015.06.26.b,2015.06.26,2015,06,16:00,SOUTH AFRICA,Western Cape Province,"Lookout Beach, Plettenberg Bay",Surfing,M,0
183,2015.06.26.a,2015.06.26,2015,06,11:00,USA,South Carolina,"South Beach, Hunting Island State Park, Beaufort County",Others,M,0
184,2015.06.25.R,2015.06.25,2015,06,Unknown,AUSTRALIA,Western Australia,Rottnest Island,Swimming,M,0
185,2015.06.25,2015.06.25,2015,06,11:41,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Surfing,M,0
186,2015.06.24.b,2015.06.24,2015,06,12:25,USA,North Carolina,Surf City,Swimming,M,0
187,2015.06.24.a,2015.06.24,2015,06,09:30,AUSTRALIA,Western Australia,Denmark,Surfing,F,0
188,2015.06.23,2015.06.23,2015,06,Unknown,USA,South Carolina,"St. Helena Island, Beaufort County",Others,M,0
189,2015.06.19,2015.06.19,2015,06,Unknown,PUERTO RICO,,Off Cabo Rojo,Fishing,M,0
190,2015.06.17,2015.06.17,2015,06,13:00,USA,Florida,Daytona Beach Shores,Swimming,M,0
191,2015.06.14.b,2015.06.14,2015,06,17:51,USA,North Carolina,"Oak Island, Brunswick County",Others,M,0
192,2015.06.14.a,2015.06.14,2015,06,16:12,USA,North Carolina,"Oak Island, Brunswick County",Others,F,0
193,2015.06.13,2015.06.13,2015,06,Unknown,USA,California,Off San Diego,Others,F,0
194,2015.06.11,2015.06.11,2015,06,12:45,USA,North Carolina,"Ocean Isle, Brunswick County",Others,F,0
195,2015.06.07,2015.06.07,2015,06,10:50,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Others,M,0
196,2015.06.05,2015.06.05,2015,06,Unknown,USA,Florida,Fort Lauderdale,Others,F,0
197,2015.06.01,2015.06.01,2015,06,15:00,REUNION,Le Port,Folette,Surfing,M,0
198,2015.05.29.b,2015.05.29,2015,05,15:00,USA,Florida,"Cocoa Beach, Brevard  County",Others,F,0
199,2015.05.29.a,2015.05.29,2015,05,13:45,USA,Florida,"New Smyrna Beach, Volusia County",Others,F,0
200,2015.05.25,2015.05.25,2015,05,08:00,FRENCH POLYNESIA,Rangiroa,Avatoru Pass,Fishing,M,0
201,2015.05.24,2015.05.24,2015,05,Unknown,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,F,0
202,2015.05.20,2015.05.20,2015,05,10:30,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0
203,2015.05.15,2015.05.15,2015,05,14:15,USA,South Carolina,Sullivan's Island,Others,M,0
204,2015.05.09,2015.05.09,2015,05,Unknown,NEW CALEDONIA,,Kouare,Others,M,1
205,2015.05.07,2015.05.07,2015,05,15:00,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,M,0
206,2015.05.03,2015.05.03,2015,05,15:00,AUSTRALIA,New South Wales,Saltwater Beach,Surfing,M,0
207,2015.05.02,2015.05.02,2015,05,13:00,SOUTH AFRICA,Eastern Cape Province,Port St. John's,Diving,M,0
208,2015.04.29,2015.04.29,2015,04,09:00,USA,Hawaii,Kanahena Cove,Others,F,1
209,2015.04.26,2015.04.26,2015,04,16:30,USA,Florida,"Resident's Beach, Marco Island",Others,M,0
210,2015.04.25,2015.04.25,2015,04,09:45,AUSTRALIA,South Australia,Fishery Bay,Surfing,M,0
211,2015.04.24.c,2015.04.24,2015,04,11:00,AUSTRALIA,New South Wales,"Belongil Beach, Byron Bay",Surfing,M,0
212,2015.04.13,2015.04.13,2015,04,Unknown,USA,Florida,"Florida Keys, Monroe County",Others,M,0
213,2015.04.11,2015.04.11,2015,04,07:30,AUSTRALIA,New South Wales,McKenzies Beach,Others,M,0
214,2015.04.12,2015.04.12,2015,04,09:00,REUNION,Saint-Gilles-les-Bains,Cap Homard,Surfing,M,1
215,2015.03.31,2015.03.31,2015,03,11:00,BRAZIL,Pernambuco,"Praia del Chifre, Olinda",Surfing,M,0
216,2015.04.03,2015.04.03,2015,04,Unknown,USA,Florida,"3 miles off Jupiter, Palm Beach County",Fishing,M,0
217,2015.03.29,2015.03.29,2015,03,Unknown,ITALY,Sardinia,,Diving,M,1
218,2015.03.26,2015.03.26,2015,03,Unknown,SOUTH AFRICA,Eastern Cape Province,Yellow Sands Point,Fishing,M,0
219,2015.03.21,2015.03.21,2015,03,Unknown,EGYPT,,Marsa Alam,Swimming,M,1
220,2015.03.18,2015.03.18,2015,03,11:45,USA,Hawaii,Hapuna Beach,Others,M,0
221,2015.03.16,2015.03.16,2015,03,10:00,FRENCH POLYNESIA,Bora Bora,Anau,Others,M,0
222,2015.03.11,2015.03.11,2015,03,Unknown,AUSTRALIA,New South Wales,"Julian Rocks, Byron Bay",Fishing,M,0
223,2015.03.10,2015.03.10,2015,03,10:20,MEXICO,Sinaloa,Mazlatan,Fishing,M,0
224,2015.03.07,2015.03.07,2015,03,Unknown,FRENCH POLYNESIA,Central Tuamotu,"Tupapati, Hikueru Atoll",Others,M,0
225,2015.02.15,2015.02.15,2015,02,Unknown,ATLANTIC OCEAN,,,Others,,0
226,2015.02.14,2015.02.14,2015,02,18:30,REUNION,d’Étang-Salé,Ravine Mula,Swimming,F,1
227,2015.02.09,2015.02.09,2015,02,10:00,AUSTRALIA,New South Wales,Shelly Beach,Surfing,M,1
228,2015.02.08,2015.02.08,2015,02,06:45,AUSTRALIA,New South Wales,"Seven Mile Beach, Byron Bay",Surfing,M,0
229,2015.02.05,2015.02.05,2015,02,Unknown,AUSTRALIA,New South Wales,Mereweather Beach,Surfing,M,0
230,2015.01.30,2015.01.30,2015,01,05:00,AUSTRALIA,Queensland,"Nerang River, Surfer's  Paradise",Others,M,0
231,2015.01.27,2015.01.27,2015,01,03:30,USA,Hawaii,Lahaina,Fishing,M,0
232,2015.01.24,2015.01.24,2015,01,Unknown,AUSTRALIA,New South Wales,Flat Rock,Surfing,M,0
233,2015.01.19.b,2015.01.19,2015,01,Unknown,USA,Florida,Off Panama City,Fishing,M,0
234,2015.01.19.a,2015.01.19,2015,01,Unknown,AUSTRALIA,New South Wales,"Wategos Beach, Byon Bay",Surfing,F,0
235,2015.01.17,2015.01.17,2015,01,13:45,AUSTRALIA,New South Wales,Off Blacksmith Beach,Fishing,M,0
236,2015.01.16,2015.01.16,2015,01,Unknown,AUSTRALIA,New South Wales,"Mollymook Beach, Bannister Head",Others,M,0
237,2015.01.08,2015.01.08,2015,01,Unknown,USA,Florida,,Swimming,M,0
238,2015.01.06,2015.01.06,2015,01,16:00,BAHAMAS,Abaco Islands,"Tahiti Beach, Elbow Cay",Others,F,0
